filename,count
getNoCustomerSelect.sql,1676
getNoCustomerSelectString.sql,1676
getNoDistrictSelect.sql,1676
getNoDistrictUpdate.sql,1676
getNoItemSelect.sql,1676
getNoNewOrderInsert.sql,1676
getNoOrderInsert.sql,1676
getNoOrderlineInsert.sql,1676
getNoStockSelect01.sql,1676
getNoStockSelect02.sql,1676
getNoStockSelect03.sql,1676
getNoStockSelect04.sql,1676
getNoStockSelect05.sql,1676
getNoStockSelect06.sql,1676
getNoStockSelect07.sql,1676
getNoStockSelect08.sql,1676
getNoStockSelect09.sql,1676
getNoStockSelect10.sql,1676
getNoStockUpdate01.sql,1676
getNoStockUpdate02.sql,1676
getNoWarehouseSelect.sql,1676
getPmCustomerSelect1.sql,2000
getPmCustomerSelect2.sql,2000
getPmCustomerSelect3.sql,2000
getPmCustomerSelect4.sql,2000
getPmCustomerUpdate1.sql,2000
getPmCustomerUpdate2.sql,2000
getPmDistrictSelect.sql,2000
getPmDistrictUpdate.sql,2000
getPmHistoryInsert.sql,2000
getPmWarehouseSelect.sql,2000
getPmWarehouseUpdate.sql,2000
getOsCustomerSelect1.sql,240
getOsCustomerSelect2.sql,240
getOsCustomerSelect3.sql,240
getOsOrderlineSelect.sql,240
getOsOrderSelect.sql,240
getDlCustomerUpdate.sql,342
getDlNewOrderDelete.sql,342
getDlNewOrderSelect.sql,342
getDlOrderlineSelect.sql,342
getDlOrderlineUpdate.sql,342
getDlOrderSelect.sql,342
getDlOrderUpdate.sql,342
getSlDistrictSelect.sql,400
getSlStockSelect.sql,400
query_01.sql,3
query_02.sql,3
query_03.sql,3
query_04.sql,3
query_05.sql,3
query_06.sql,3
query_07.sql,3
query_08.sql,3
query_09.sql,3
query_10.sql,3
query_11.sql,3
query_12.sql,3
query_13.sql,3
query_14.sql,3
query_15.sql,3
query_16.sql,3
query_17.sql,3
query_18.sql,3
query_19.sql,3
query_20.sql,3
query_21.sql,3
query_22.sql,3
getSelectCountCustomer.sql,50
getSelectCountDistrict.sql,50
getSelectCountHistory.sql,50
getSelectCountItem.sql,50
getSelectCountNation.sql,50
getSelectCountNeworder.sql,50
getSelectCountOrderline.sql,50
getSelectCountOrder.sql,50
getSelectCountRegion.sql,50
getSelectCountStock.sql,50
getSelectCountSupplier.sql,50
getSelectCountWarehouse.sql,50
